,Gu_code,X,Y,light_num,cross_num,subway_num,school_num,land_value,center_div,island,limit_vel,road_num,road_size,load_length,acc_num
1,AA,129.037576600 ,35.105157090 ,22.000000000 ,3.000000000 ,1.000000000 ,0.000000000 ,2252385.714000000 ,0.000000000 ,2.000000000 ,66.667000000 ,4.000000000 ,25.250000000 ,1598.250000000 ,61.000000000 
2,AA,129.033488900 ,35.110118960 ,0.000000000 ,0.000000000 ,0.000000000 ,3.000000000 ,828650.819600000 ,0.000000000 ,0.000000000 ,50.000000000 ,1.000000000 ,7.250000000 ,562.500000000 ,13.000000000 
3,AA,129.033036900 ,35.114994520 ,0.000000000 ,0.000000000 ,0.000000000 ,1.000000000 ,438258.064500000 ,0.000000000 ,0.000000000 ,50.000000000 ,1.000000000 ,12.000000000 ,5570.000000000 ,8.000000000 
4,AA,129.017016300 ,35.108493240 ,0.000000000 ,0.000000000 ,1.000000000 ,0.000000000 ,1569002.500000000 ,0.000000000 ,0.000000000 ,45.000000000 ,1.000000000 ,10.167000000 ,155.500000000 ,11.000000000 
5,AA,129.017464900 ,35.115870240 ,18.000000000 ,1.000000000 ,0.000000000 ,1.000000000 ,1048123.636000000 ,0.000000000 ,4.000000000 ,53.333000000 ,2.333000000 ,23.000000000 ,5253.000000000 ,57.000000000 
6,AA,129.037807400 ,35.117766740 ,0.000000000 ,0.000000000 ,0.000000000 ,1.000000000 ,1092257.142000000 ,0.000000000 ,0.000000000 ,45.000000000 ,1.000000000 ,6.125000000 ,354.500000000 ,24.000000000 
7,AA,129.045555800 ,35.135486620 ,0.000000000 ,0.000000000 ,0.000000000 ,1.000000000 ,718902.739700000 ,0.000000000 ,0.000000000 ,40.000000000 ,1.000000000 ,9.000000000 ,2274.400000000 ,19.000000000 
8,AA,129.064335100 ,35.138906990 ,0.000000000 ,0.000000000 ,1.000000000 ,1.000000000 ,2899000.000000000 ,0.000000000 ,0.000000000 ,50.000000000 ,2.000000000 ,11.000000000 ,419.000000000 ,21.000000000 
9,AA,129.063564700 ,35.095592310 ,5.000000000 ,0.000000000 ,0.000000000 ,0.000000000 ,913133.333300000 ,0.000000000 ,0.000000000 ,60.000000000 ,2.000000000 ,14.667000000 ,2139.000000000 ,16.000000000 
10,AA,129.059155400 ,35.154491810 ,0.000000000 ,0.000000000 ,0.000000000 ,0.000000000 ,29373133.330000000 ,0.000000000 ,0.000000000 ,50.000000000 ,2.000000000 ,22.667000000 ,8822.333000000 ,171.000000000 
11,AA,129.033802100 ,35.147524960 ,0.000000000 ,0.000000000 ,0.000000000 ,3.000000000 ,652972.000000000 ,0.000000000 ,0.000000000 ,50.000000000 ,1.500000000 ,5.900000000 ,2833.995000000 ,19.000000000 
12,AA,129.016484100 ,35.154025370 ,8.000000000 ,1.000000000 ,0.000000000 ,1.000000000 ,1020872.727000000 ,1.000000000 ,0.000000000 ,55.000000000 ,1.750000000 ,13.400000000 ,4992.800000000 ,13.000000000 
13,AA,129.068224700 ,35.157812060 ,12.000000000 ,3.000000000 ,0.000000000 ,0.000000000 ,1817618.181000000 ,0.000000000 ,0.000000000 ,50.000000000 ,1.000000000 ,13.967000000 ,767.000000000 ,14.000000000 
14,AA,129.041712200 ,35.166003590 ,10.000000000 ,2.000000000 ,0.000000000 ,1.000000000 ,1720794.382000000 ,0.000000000 ,0.000000000 ,50.000000000 ,1.500000000 ,9.333000000 ,1143.667000000 ,37.000000000 
